"","p","n","n_resamples","prop_resample","runs","k","res"
"176",2,100,50,0.2,100,3,557.799126984127
"177",2,100,50,0.2,100,3,606.612114512472
"178",2,100,50,0.2,100,3,588.172522675737
"179",2,100,50,0.2,100,3,537.301179138322
"180",2,100,50,0.2,100,3,568.086394557823
"181",2,100,50,0.2,100,3,601.622090576972
"182",2,100,50,0.2,100,3,533.602653061224
"183",2,100,50,0.2,100,3,579.011882086168
"184",2,100,50,0.2,100,3,630.976689342404
"185",2,100,50,0.2,100,3,586.02123015873
"186",2,100,50,0.2,100,3,559.837500629882
"187",2,100,50,0.2,100,3,585.304659863946
"188",2,100,50,0.2,100,3,671.72687893676
"189",2,100,50,0.2,100,3,671.724285714286
"190",2,100,50,0.2,100,3,691.328027210884
"191",2,100,50,0.2,100,3,674.459212018141
"192",2,100,50,0.2,100,3,571.058117913832
"193",2,100,50,0.2,100,3,524.63574829932
"194",2,100,50,0.2,100,3,638.104693877551
"195",2,100,50,0.2,100,3,576.027561098514
"196",2,100,50,0.2,100,3,582.913015873016
"197",2,100,50,0.2,100,3,557.531850592089
"198",2,100,50,0.2,100,3,619.928276643991
"199",2,100,50,0.2,100,3,539.792517006803
"200",2,100,50,0.2,100,3,573.726201814059
"201",2,100,50,0.2,100,4,503.190861678005
"202",2,100,50,0.2,100,4,444.375770975057
"203",2,100,50,0.2,100,4,461.152477954145
"204",2,100,50,0.2,100,4,519.781462585034
"205",2,100,50,0.2,100,4,422.169274376417
"206",2,100,50,0.2,100,4,441.293137440161
"207",2,100,50,0.2,100,4,483.272930839002
"208",2,100,50,0.2,100,4,472.224273116654
"209",2,100,50,0.2,100,4,453.615153061225
"210",2,100,50,0.2,100,4,479.711995464853
"211",2,100,50,0.2,100,4,521.848055555556
"212",2,100,50,0.2,100,4,489.045873015873
"213",2,100,50,0.2,100,4,489.494365079365
"214",2,100,50,0.2,100,4,505.73505165029
"215",2,100,50,0.2,100,4,442.510731292517
"216",2,100,50,0.2,100,4,464.504359410431
"217",2,100,50,0.2,100,4,455.86018707483
"218",2,100,50,0.2,100,4,485.799659863946
"219",2,100,50,0.2,100,4,504.862403628118
"220",2,100,50,0.2,100,4,485.591405895692
"221",2,100,50,0.2,100,4,485.944132653061
"222",2,100,50,0.2,100,4,460.606009070295
"223",2,100,50,0.2,100,4,530.194943310658
"224",2,100,50,0.2,100,4,495.175045351474
"225",2,100,50,0.2,100,4,474.89970521542
"226",2,100,50,0.2,100,4,389.85816893424
"227",2,100,50,0.2,100,4,452.100158730159
