"","k","CRAB","run"
"321",14,0.0564493387894653,23
"322",15,0.0524406751236521,23
"323",2,0.00667250121319281,24
"324",3,0.000592534673754238,24
"325",4,0.125990213912271,24
"326",5,0.081822457971405,24
"327",6,0.0845060195141328,24
"328",7,0.0822582019642745,24
"329",8,0.0802486772998874,24
"330",9,0.0777035637580879,24
"331",10,0.0645041336522443,24
"332",11,0.0619077084817254,24
"333",12,0.0613334315866037,24
"334",13,0.0600247469631338,24
"335",14,0.0563948550467596,24
"336",15,0.0526036614337336,24
"337",2,0.00674850360898377,25
"338",3,0.000328931946400846,25
"339",4,0.125999096564704,25
"340",5,0.0819737517366464,25
"341",6,0.0844875347892087,25
"342",7,0.0812812858594806,25
"343",8,0.0793540467462165,25
"344",9,0.0779287149723174,25
"345",10,0.0651890033510803,25
"346",11,0.0613108086915087,25
"347",12,0.0606173147406749,25
"348",13,0.0597593307724553,25
"349",14,0.0564462779686375,25
"350",15,0.0528161481221012,25
"351",2,0.00685981843780379,26
